id;company_name;business_reg_num;represantitive_name;company_address;subscriber_name;phone_number;members_type
1;misguided;polite while oh;whenever than above;ack fortunately inside;semicolon shoot;sire;COMPANY_MEMBER
2;transpose censure atop;pecan;wherever recklessly quarrelsomely;winged willfully absent;er pioneer;profess obvious;COMPANY_MEMBER
3;exciting within;unaccountably unimpressively entrepreneur;gadzooks;near pupa reorder;um while;elevate or;FIRM_MEMBER
4;prosecution once;goose ha curiously;adapt loathsome esteemed;stutter;distorted mom hearty;boo than ionize;FIRM_MEMBER
5;owlishly granular;whereas;pish gee;hybridization;for owlishly duh;knife;COMPANY_MEMBER
6;basics;after assumption instead;timer;change whose;mama blah gadzooks;mister grandchild athwart;COMPANY_MEMBER
7;now how;phooey times turbulent;promptly confute ew;hollow whether remarkable;tea;bah hybridise;COMPANY_MEMBER
8;whoever why made-up;from;coolly softly justly;busy;ah lest;oyster houseboat;FIRM_MEMBER
9;meanwhile at joyfully;unban similar if;census;if dearest;dense;adventurously effect;FIRM_MEMBER
10;neatly;psst like;duh ick;wobbly evenly gear;smoothly;or;COMPANY_MEMBER
